sku_id,origin,date,actual,prediction,method
SKU-1004,2026-05-13,2026-05-22,159.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-23,138.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-24,144.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-25,137.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-26,191.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-27,212.0,165.88888888888889,mean28
SKU-1004,2026-05-13,2026-05-14,215.0,185.0,seasonal7
SKU-1004,2026-05-13,2026-05-15,175.0,143.0,seasonal7
SKU-1004,2026-05-13,2026-05-16,125.0,129.0,seasonal7
SKU-1004,2026-05-13,2026-05-17,158.0,133.0,seasonal7
SKU-1004,2026-05-13,2026-05-18,136.0,171.0,seasonal7
SKU-1004,2026-05-13,2026-05-19,242.0,187.0,seasonal7
SKU-1004,2026-05-13,2026-05-20,236.0,189.0,seasonal7
SKU-1004,2026-05-13,2026-05-21,227.0,185.0,seasonal7
SKU-1004,2026-05-13,2026-05-22,159.0,143.0,seasonal7
SKU-1004,2026-05-13,2026-05-23,138.0,129.0,seasonal7
SKU-1004,2026-05-13,2026-05-24,144.0,133.0,seasonal7
SKU-1004,2026-05-13,2026-05-25,137.0,171.0,seasonal7
SKU-1004,2026-05-13,2026-05-26,191.0,187.0,seasonal7
SKU-1004,2026-05-13,2026-05-27,212.0,189.0,seasonal7
SKU-1004,2026-05-13,2026-05-14,215.0,171.45828447849084,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-15,175.0,154.61686013184294,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-16,125.0,124.63062482086558,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-17,158.0,138.54763021444018,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-18,136.0,190.01429166992364,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-19,242.0,187.47596993147292,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-20,236.0,196.2103253081112,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-21,227.0,171.45828447849084,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-22,159.0,154.61686013184294,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-23,138.0,124.63062482086558,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-24,144.0,138.54763021444018,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-25,137.0,190.01429166992364,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-26,191.0,187.47596993147292,weekday_shrinkage
SKU-1004,2026-05-13,2026-05-27,212.0,196.2103253081112,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-14,102.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-15,81.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-16,72.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-17,81.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-18,102.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-19,90.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-20,93.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-21,86.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-22,89.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-23,97.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-24,108.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-25,,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-26,80.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-27,91.0,102.74074074074075,mean28
SKU-1005,2026-05-13,2026-05-14,102.0,91.0,seasonal7
